prov,tahun,kategori_pmi
ACEH,2022,TINGGI
SUMATERA UTARA,2022,TINGGI
SUMATERA BARAT,2022,TINGGI
RIAU,2022,TINGGI
JAMBI,2022,TINGGI
SUMATERA SELATAN,2022,TINGGI
BENGKULU,2022,TINGGI
LAMPUNG,2022,TINGGI
KEP. BANGKA BELITUNG,2022,TINGGI
KEP. RIAU,2022,TINGGI
DKI JAKARTA,2022,TINGGI
JAWA BARAT,2022,TINGGI
JAWA TENGAH,2022,TINGGI
DI YOGYAKARTA,2022,TINGGI
JAWA TIMUR,2022,TINGGI
BANTEN,2022,TINGGI
BALI,2022,TINGGI
NUSA TENGGARA BARAT,2022,TINGGI
NUSA TENGGARA TIMUR,2022,TINGGI
KALIMANTAN BARAT,2022,TINGGI
KALIMANTAN TENGAH,2022,TINGGI
KALIMANTAN SELATAN,2022,TINGGI
KALIMANTAN TIMUR,2022,TINGGI
KALIMANTAN UTARA,2022,TINGGI
SULAWESI UTARA,2022,TINGGI
SULAWESI TENGAH,2022,TINGGI
SULAWESI SELATAN,2022,TINGGI
SULAWESI TENGGARA,2022,TINGGI
GORONTALO,2022,TINGGI
SULAWESI BARAT,2022,TINGGI
MALUKU,2022,TINGGI
MALUKU UTARA,2022,TINGGI
PAPUA BARAT,2022,TINGGI
PAPUA,2022,TINGGI
ACEH,2021,SANGAT TINGGI
SUMATERA UTARA,2021,SANGAT TINGGI
SUMATERA BARAT,2021,SANGAT TINGGI
RIAU,2021,SANGAT TINGGI
JAMBI,2021,SANGAT TINGGI
SUMATERA SELATAN,2021,SANGAT TINGGI
BENGKULU,2021,SANGAT TINGGI
LAMPUNG,2021,TINGGI
KEP. BANGKA BELITUNG,2021,SANGAT TINGGI
KEP. RIAU,2021,SANGAT TINGGI
DKI JAKARTA,2021,SEDANG
JAWA BARAT,2021,SANGAT TINGGI
JAWA TENGAH,2021,SANGAT TINGGI
DI YOGYAKARTA,2021,SEDANG
JAWA TIMUR,2021,SANGAT TINGGI
BANTEN,2021,SANGAT TINGGI
BALI,2021,SANGAT TINGGI
NUSA TENGGARA BARAT,2021,TINGGI
NUSA TENGGARA TIMUR,2021,TINGGI
KALIMANTAN BARAT,2021,TINGGI
KALIMANTAN TENGAH,2021,SANGAT TINGGI
KALIMANTAN SELATAN,2021,SANGAT TINGGI
KALIMANTAN TIMUR,2021,SANGAT TINGGI
KALIMANTAN UTARA,2021,SANGAT TINGGI
SULAWESI UTARA,2021,SANGAT TINGGI
SULAWESI TENGAH,2021,TINGGI
SULAWESI SELATAN,2021,SANGAT TINGGI
SULAWESI TENGGARA,2021,SANGAT TINGGI
GORONTALO,2021,TINGGI
SULAWESI BARAT,2021,TINGGI
MALUKU,2021,TINGGI
MALUKU UTARA,2021,TINGGI
PAPUA BARAT,2021,TINGGI
PAPUA,2021,TINGGI
ACEH,2020,SANGAT TINGGI
